,coach,team,season
508,Mike Pettine,CLE,2014
509,Jason Garrett,DAL,2014
510,John Fox,DEN,2014
511,Jim Caldwell,DET,2014
512,Mike McCarthy,GNB,2014
513,Bill O'Brien,HOU,2014
514,Chuck Pagano,IND,2014
515,Gus Bradley,JAX,2014
516,Andy Reid,KAN,2014
517,Joe Philbin,MIA,2014
518,Mike Zimmer,MIN,2014
519,Sean Payton,NOR,2014
520,Bill Belichick,NWE,2014
521,Tom Coughlin,NYG,2014
522,Rex Ryan,NYJ,2014
523,Dennis Allen,OAK,2014
524,Tony Sparano,OAK,2014
525,Chip Kelly,PHI,2014
526,Mike Tomlin,PIT,2014
527,Mike McCoy,SDG,2014
528,Pete Carroll,SEA,2014
529,Jim Harbaugh,SFO,2014
530,Jeff Fisher,STL,2014
531,Lovie Smith,TAM,2014
532,Ken Whisenhunt,TEN,2014
533,Jay Gruden,WAS,2014
534,Bruce Arians,ARI,2015
535,Dan Quinn,ATL,2015
536,John Harbaugh,BAL,2015
537,Rex Ryan,BUF,2015
538,Ron Rivera,CAR,2015
539,John Fox,CHI,2015
540,Marvin Lewis,CIN,2015
541,Mike Pettine,CLE,2015
542,Jason Garrett,DAL,2015
543,Gary Kubiak,DEN,2015
544,Jim Caldwell,DET,2015
545,Mike McCarthy,GNB,2015
546,Bill O'Brien,HOU,2015
547,Chuck Pagano,IND,2015
548,Gus Bradley,JAX,2015
549,Andy Reid,KAN,2015
550,Dan Campbell,MIA,2015
551,Joe Philbin,MIA,2015
552,Mike Zimmer,MIN,2015
553,Sean Payton,NOR,2015
554,Bill Belichick,NWE,2015
555,Tom Coughlin,NYG,2015
556,Todd Bowles,NYJ,2015
557,Jack Del Rio,OAK,2015
558,Chip Kelly,PHI,2015
559,Pat Shurmur,PHI,2015
560,Mike Tomlin,PIT,2015
561,Mike McCoy,SDG,2015
562,Pete Carroll,SEA,2015
563,Jim Tomsula,SFO,2015
564,Jeff Fisher,STL,2015
565,Lovie Smith,TAM,2015
566,Ken Whisenhunt,TEN,2015
567,Mike Mularkey,TEN,2015
568,Jay Gruden,WAS,2015
569,Bruce Arians,ARI,2016
570,Dan Quinn,ATL,2016
571,John Harbaugh,BAL,2016
572,Anthony Lynn,BUF,2016
573,Rex Ryan,BUF,2016
574,Ron Rivera,CAR,2016
575,John Fox,CHI,2016
576,Marvin Lewis,CIN,2016
577,Hue Jackson,CLE,2016
578,Jason Garrett,DAL,2016
579,Gary Kubiak,DEN,2016
580,Jim Caldwell,DET,2016
581,Mike McCarthy,GNB,2016
582,Bill O'Brien,HOU,2016
583,Chuck Pagano,IND,2016
584,Doug Marrone,JAX,2016
585,Gus Bradley,JAX,2016
586,Andy Reid,KAN,2016
587,John Fassel,LAR,2016
588,Jeff Fisher,LAR,2016
589,Adam Gase,MIA,2016
590,Mike Zimmer,MIN,2016
591,Sean Payton,NOR,2016
592,Bill Belichick,NWE,2016
593,Ben McAdoo,NYG,2016
594,Todd Bowles,NYJ,2016
595,Jack Del Rio,OAK,2016
596,Doug Pederson,PHI,2016
597,Mike Tomlin,PIT,2016
598,Mike McCoy,SDG,2016
599,Pete Carroll,SEA,2016
600,Chip Kelly,SFO,2016
601,Dirk Koetter,TAM,2016
602,Mike Mularkey,TEN,2016
603,Jay Gruden,WAS,2016
604,Bruce Arians,ARI,2017
605,Dan Quinn,ATL,2017
606,John Harbaugh,BAL,2017
607,Sean McDermott,BUF,2017
608,Ron Rivera,CAR,2017
609,John Fox,CHI,2017
610,Marvin Lewis,CIN,2017
611,Hue Jackson,CLE,2017
612,Jason Garrett,DAL,2017
613,Vance Joseph,DEN,2017
614,Jim Caldwell,DET,2017
615,Mike McCarthy,GNB,2017
616,Bill O'Brien,HOU,2017
617,Chuck Pagano,IND,2017
618,Doug Marrone,JAX,2017
619,Andy Reid,KAN,2017
620,Anthony Lynn,LAC,2017
621,Sean McVay,LAR,2017
622,Adam Gase,MIA,2017
623,Mike Zimmer,MIN,2017
624,Sean Payton,NOR,2017
625,Bill Belichick,NWE,2017
626,Ben McAdoo,NYG,2017
627,Steve Spagnuolo,NYG,2017
628,Todd Bowles,NYJ,2017
629,Jack Del Rio,OAK,2017
630,Doug Pederson,PHI,2017
631,Mike Tomlin,PIT,2017
632,Pete Carroll,SEA,2017
633,Kyle Shanahan,SFO,2017
634,Dirk Koetter,TAM,2017
635,Mike Mularkey,TEN,2017
636,Jay Gruden,WAS,2017
637,Steve Wilks,ARI,2018
638,Dan Quinn,ATL,2018
639,John Harbaugh,BAL,2018
640,Sean McDermott,BUF,2018
641,Ron Rivera,CAR,2018
642,Matt Nagy,CHI,2018
643,Marvin Lewis,CIN,2018
644,Hue Jackson,CLE,2018
645,Gregg Williams,CLE,2018
646,Jason Garrett,DAL,2018
647,Vance Joseph,DEN,2018
648,Matt Patricia,DET,2018
649,Mike McCarthy,GNB,2018
650,Joe Philbin,GNB,2018
651,Bill O'Brien,HOU,2018
652,Frank Reich,IND,2018
653,Doug Marrone,JAX,2018
654,Andy Reid,KAN,2018
655,Anthony Lynn,LAC,2018
656,Sean McVay,LAR,2018
657,Adam Gase,MIA,2018
658,Mike Zimmer,MIN,2018
659,Sean Payton,NOR,2018
660,Bill Belichick,NWE,2018
661,Pat Shurmur,NYG,2018
662,Todd Bowles,NYJ,2018
663,Jon Gruden,OAK,2018
664,Doug Pederson,PHI,2018
665,Mike Tomlin,PIT,2018
666,Pete Carroll,SEA,2018
667,Kyle Shanahan,SFO,2018
668,Dirk Koetter,TAM,2018
669,Mike Vrabel,TEN,2018
670,Jay Gruden,WAS,2018
671,Kliff Kingsbury,ARI,2019
672,Dan Quinn,ATL,2019
673,John Harbaugh,BAL,2019
674,Sean McDermott,BUF,2019
675,Perry Fewell,CAR,2019
676,Ron Rivera,CAR,2019
677,Matt Nagy,CHI,2019
678,Zac Taylor,CIN,2019
679,Freddie Kitchens,CLE,2019
680,Jason Garrett,DAL,2019
681,Vic Fangio,DEN,2019
682,Matt Patricia,DET,2019
683,Matt LaFleur,GNB,2019
684,Bill O'Brien,HOU,2019
685,Frank Reich,IND,2019
